Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population ,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area,Density,Growth_Rate,World_Population_Percentage,avgincome/person,Life_expectancy ,Adult Mortality,Total_expenditure,Schooling
20,THA,Thailand,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9,167737,67.8,146,4.47,10.6
155,TLS,Timor-Leste,Dili,Asia,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,90.1772,1.0154,0.02,131091,67.5,151,4.48,10.4
100,TGO,Togo,Lomé,Africa,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,155.8281,1.0236,0.11,262439,66.6,16,4.67,10.1
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,298.4491,1.0035,0.02,99127,76.1,147,,12.6
79,TUN,Tunisia,Tunis,Africa,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15,370552,75.4,16,7.74,12.6
18,TUR,Turkey,Ankara,Asia,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,108.9145,1.0067,1.07,203353,74.8,172,7.5,12.6
111,TKM,Turkmenistan,Ashgabat,Asia,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,13.1751,1.014,0.08,36091,74.9,167,7.43,12.6
31,UGA,Uganda,Kampala,Africa,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,195.61,1.0304,0.59,57151,75,162,7.63,12.6
38,UKR,Ukraine,Kiev,Europe,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,65.7858,0.912,0.5,172479,75,161,7.44,12.6
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,112.9322,1.0081,0.12,206609,74.6,168,7.43,12.6
21,GBR,United Kingdom,London,Europe,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,277.9289,1.0034,0.85,124971,74.5,167,7.3,12.6
3,USA,United States,"Washington, D.C.",North America,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,36.0935,1.0038,4.24,202222,74.4,167,7.8,12.5
133,URY,Uruguay,Montevideo,South America,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,18.9069,0.999,0.04,175262,74.2,171,6.93,12.4
43,UZB,Uzbekistan,Tashkent,Asia,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,77.3975,1.016,0.43,225779,74.1,172,5.95,12.4
51,VEN,Venezuela,Caracas,South America,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,30.882,1.0036,0.35,100313,73.8,174,6.2,12.3
16,VNM,Vietnam,Hanoi,Asia,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,296.4472,1.0074,1.23,405713,73.2,189,5.62,12.2
172,ESH,Western Sahara,El Aaiún,Africa,575986,556048,491824,413296,270375,178529,116775,76371,266000,2.1654,1.0184,0.01,244074,73.1,19,5.26,12.1
46,YEM,Yemen,Sanaa,Asia,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,63.8232,1.0217,0.42,77845,72.9,189,5.15,12.1
63,ZMB,Zambia,Lusaka,Africa,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,26.5976,1.028,0.25,95246,72.6,192,5.21,12
74,ZWE,Zimbabwe,Harare,Africa,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,41.7665,1.0204,0.2,280570,76.9,69,,14.5
,,,,,,,,,,,,,,,,,203488,76.8,7,4.98,14.5
,,,,,,,,,,,,,,,,,117227,76.7,7,4.69,14.5
,,,,,,,,,,,,,,,,,220563,76.5,71,4.37,14.5
,,,,,,,,,,,,,,,,,30289,76.1,76,3.4,14.4
,,,,,,,,,,,,,,,,,99146,76.1,73,3.64,14.4
,,,,,,,,,,,,,,,,,308709,76,74,3.79,14.4
,,,,,,,,,,,,,,,,,191681,75.8,76,3.17,14.4
,,,,,,,,,,,,,,,,,176517,75.6,77,3.8,14.4
,,,,,,,,,,,,,,,,,38772,75.5,79,3.8,14.2
,,,,,,,,,,,,,,,,,421474,75.3,81,3.16,14
,,,,,,,,,,,,,,,,,185384,75.2,83,3.37,13.9
,,,,,,,,,,,,,,,,,46537,75,85,3.74,13.7
,,,,,,,,,,,,,,,,,204425,74.9,87,3.89,13.5
,,,,,,,,,,,,,,,,,131310,74.7,9,3.8,13.3
,,,,,,,,,,,,,,,,,54583,74.5,92,3.51,13.2
,,,,,,,,,,,,,,,,,102288,71.8,129,,10.2
,,,,,,,,,,,,,,,,,247043,71.4,132,2.82,10
,,,,,,,,,,,,,,,,,117477,71,135,2.88,10
,,,,,,,,,,,,,,,,,196107,77,137,3.8,9.9
,,,,,,,,,,,,,,,,,176520,73,14,3.16,9.4
,,,,,,,,,,,,,,,,,170456,69.9,142,3.6,8.9
,,,,,,,,,,,,,,,,,89389,69.5,144,2.91,8.4
,,,,,,,,,,,,,,,,,31778,69.1,147,2.85,8.6
,,,,,,,,,,,,,,,,,27802,68.6,151,2.8,8.6
,,,,,,,,,,,,,,,,,363296,68.2,152,2.8,8.4
,,,,,,,,,,,,,,,,,170195,67.8,155,2.68,8.2
,,,,,,,,,,,,,,,,,227146,67.3,158,2.62,8.1
,,,,,,,,,,,,,,,,,272182,66.8,161,2.51,7.9
,,,,,,,,,,,,,,,,,148524,66.3,164,2.59,7.7
,,,,,,,,,,,,,,,,,183611,65.8,168,2.47,7.5
,,,,,,,,,,,,,,,,,262819,65.3,173,2.33,7.3
,,,,,,,,,,,,,,,,,54472,75.5,98,,15.3
,,,,,,,,,,,,,,,,,124751,75.4,1,7.47,15.3
,,,,,,,,,,,,,,,,,442478,75.2,11,7.57,15.3
,,,,,,,,,,,,,,,,,152617,75.1,12,7.43,15.3
,,,,,,,,,,,,,,,,,137606,74.9,14,6.67,15.5
,,,,,,,,,,,,,,,,,173224,74.7,16,6.17,15.8
,,,,,,,,,,,,,,,,,254304,74.6,19,6.21,15.5
,,,,,,,,,,,,,,,,,117606,74.4,111,6.1,15.3
,,,,,,,,,,,,,,,,,462838,74.2,113,5.64,15
,,,,,,,,,,,,,,,,,200904,74.1,115,5.27,14.8
,,,,,,,,,,,,,,,,,409815,73.9,117,5.38,14.6
,,,,,,,,,,,,,,,,,158002,73.8,119,5.71,14.4
,,,,,,,,,,,,,,,,,146497,73.7,121,5.82,14.2
,,,,,,,,,,,,,,,,,109001,73.5,123,5.76,14
,,,,,,,,,,,,,,,,,54985,73.4,125,5.47,14
,,,,,,,,,,,,,,,,,283587,73.3,127,5.16,14
,,,,,,,,,,,,,,,,,303918,72.3,196,,15.6
,,,,,,,,,,,,,,,,,324791,72,199,5.69,15.7
,,,,,,,,,,,,,,,,,165201,71.7,23,6.7,15.7
,,,,,,,,,,,,,,,,,187397,71.9,194,5.1,15.6
,,,,,,,,,,,,,,,,,182200,72,232,4.92,15.5
,,,,,,,,,,,,,,,,,68330,73,222,5.55,15.5
,,,,,,,,,,,,,,,,,264526,70,226,6.9,15.4
,,,,,,,,,,,,,,,,,114060,70,224,5.95,15.1
,,,,,,,,,,,,,,,,,98726,69.8,226,6.44,14.9
,,,,,,,,,,,,,,,,,48458,68.9,243,6.34,14.6
,,,,,,,,,,,,,,,,,180551,68.1,252,6.89,14.4
,,,,,,,,,,,,,,,,,63564,68.2,247,6.59,14.1
,,,,,,,,,,,,,,,,,259087,67.7,253,6.59,13.9
,,,,,,,,,,,,,,,,,283969,67.2,262,6.47,13.6
,,,,,,,,,,,,,,,,,281030,67.7,254,6.62,13.3
,,,,,,,,,,,,,,,,,196116,68,247,6.13,13.1
,,,,,,,,,,,,,,,,,187686,81.1,74,,16.6
,,,,,,,,,,,,,,,,,321274,89,76,1.59,16.3
,,,,,,,,,,,,,,,,,190747,87,77,1.57,16.3
,,,,,,,,,,,,,,,,,629900,83,78,1.54,16.2
,,,,,,,,,,,,,,,,,706026,83,8,1.42,16.1
,,,,,,,,,,,,,,,,,132267,80,81,1.17,15.9
,,,,,,,,,,,,,,,,,129513,79.8,85,1.39,15.8
,,,,,,,,,,,,,,,,,224889,79.5,87,9.6,15.8
,,,,,,,,,,,,,,,,,109638,79.5,86,9.25,15.8
,,,,,,,,,,,,,,,,,197522,79.4,85,9.17,15.7
,,,,,,,,,,,,,,,,,185041,78.9,89,9.24,15.7
,,,,,,,,,,,,,,,,,154835,78.8,91,9.32,18.8
,,,,,,,,,,,,,,,,,186934,78.3,95,9.3,18.6
,,,,,,,,,,,,,,,,,403468,78,99,8.46,18.8
,,,,,,,,,,,,,,,,,195124,78,1,8.29,18.2
,,,,,,,,,,,,,,,,,436493,77.6,11,8.12,18
,,,,,,,,,,,,,,,,,344415,71,175,,12.8
,,,,,,,,,,,,,,,,,163215,70,177,5.79,12.8
,,,,,,,,,,,,,,,,,237498,69.8,18,5.79,12.9
,,,,,,,,,,,,,,,,,320192,69.4,189,5.45,12.5
,,,,,,,,,,,,,,,,,47270,69.4,188,5.61,12.4
,,,,,,,,,,,,,,,,,219122,69.5,186,5.85,12.4
,,,,,,,,,,,,,,,,,236684,69.5,184,5.81,12.7
,,,,,,,,,,,,,,,,,158734,69.6,181,5.9,12.8
,,,,,,,,,,,,,,,,,137320,69.6,181,4.76,12.8
,,,,,,,,,,,,,,,,,298834,69.4,184,4.4,12.3
,,,,,,,,,,,,,,,,,227466,69,191,4.45,12.8
,,,,,,,,,,,,,,,,,131591,68.7,197,4.39,12.5
,,,,,,,,,,,,,,,,,125279,68.4,21,4.53,12.2
,,,,,,,,,,,,,,,,,215620,68.5,199,4.38,11.9
,,,,,,,,,,,,,,,,,307973,68.2,21,4.5,11.8
,,,,,,,,,,,,,,,,,284343,68.3,196,3.98,11.7
,,,,,,,,,,,,,,,,,228456,60,249,,10.7
,,,,,,,,,,,,,,,,,136402,59.7,252,4.59,10.7
,,,,,,,,,,,,,,,,,147850,59.5,251,4.59,10.3
,,,,,,,,,,,,,,,,,182714,59.3,251,4.86,10
,,,,,,,,,,,,,,,,,62932,59.1,251,5.37,9.8
,,,,,,,,,,,,,,,,,436163,58.7,254,4.95,9.5
,,,,,,,,,,,,,,,,,80680,58.4,259,4.46,9.3
,,,,,,,,,,,,,,,,,196044,57.6,278,4.2,9.1
,,,,,,,,,,,,,,,,,239877,57.1,283,4.55,8.9
,,,,,,,,,,,,,,,,,304246,56.8,284,4.75,8.7
,,,,,,,,,,,,,,,,,172987,56.5,285,4.73,8.5
,,,,,,,,,,,,,,,,,175127,56.1,285,4.56,8.1
,,,,,,,,,,,,,,,,,139568,55.8,285,4.63,7.7
,,,,,,,,,,,,,,,,,206857,55.6,283,4.27,7.3
,,,,,,,,,,,,,,,,,295949,55.5,281,4.69,6.6
,,,,,,,,,,,,,,,,,184589,55.4,279,4.34,6.4
,,,,,,,,,,,,,,,,,46514,69.8,211,,12.5
,,,,,,,,,,,,,,,,,252208,69.4,216,3.57,12.5
,,,,,,,,,,,,,,,,,167990,69.1,219,3.83,12.6
,,,,,,,,,,,,,,,,,190997,68.7,223,3.7,12.3
,,,,,,,,,,,,,,,,,260782,68.3,225,4.73,11.9
,,,,,,,,,,,,,,,,,220669,67.9,228,5.17,11.4
,,,,,,,,,,,,,,,,,156261,67.4,232,6.3,10.9
,,,,,,,,,,,,,,,,,184176,67,234,6.58,10.5
,,,,,,,,,,,,,,,,,123218,66.5,238,5.88,10.1
,,,,,,,,,,,,,,,,,199352,65.8,245,5.27,9.6
,,,,,,,,,,,,,,,,,217775,65,254,5.28,9.2
,,,,,,,,,,,,,,,,,178934,64.2,263,4.41,8.8
,,,,,,,,,,,,,,,,,183801,63.3,273,4.9,8.4
,,,,,,,,,,,,,,,,,137604,62.5,282,7.75,8
,,,,,,,,,,,,,,,,,77975,61.7,29,5.91,7.6
,,,,,,,,,,,,,,,,,178100,62,312,6.91,7.3
,,,,,,,,,,,,,,,,,178678,77,186,,13.8
,,,,,,,,,,,,,,,,,118712,74,189,6.33,13.8
,,,,,,,,,,,,,,,,,99131,71,192,5.96,13.8
,,,,,,,,,,,,,,,,,68330,69.8,194,5.56,13.8
,,,,,,,,,,,,,,,,,26252,69.3,198,5.49,13.8
,,,,,,,,,,,,,,,,,413297,68.7,22,5.44,13.8
,,,,,,,,,,,,,,,,,164877,68,27,5.76,13.8
,,,,,,,,,,,,,,,,,259307,67.4,211,5,14
,,,,,,,,,,,,,,,,,348771,66.8,216,4.96,14.1
,,,,,,,,,,,,,,,,,296212,66.2,219,5.19,14.3
,,,,,,,,,,,,,,,,,237582,65.7,222,5.67,14.4
,,,,,,,,,,,,,,,,,177366,65.1,226,5.22,14.6
,,,,,,,,,,,,,,,,,201928,64.5,23,5.3,14.4
,,,,,,,,,,,,,,,,,199058,63.9,234,6.53,14
,,,,,,,,,,,,,,,,,77820,63.3,238,6.31,13.7
,,,,,,,,,,,,,,,,,109814,62.6,243,5.67,13.3
,,,,,,,,,,,,,,,,,178983,77.4,88,,14.2
,,,,,,,,,,,,,,,,,116707,77.2,89,9.57,14.2
,,,,,,,,,,,,,,,,,206667,77,9,9.46,14.2
,,,,,,,,,,,,,,,,,278576,76.8,92,9.94,13.9
,,,,,,,,,,,,,,,,,144322,76.9,92,9.71,13.4
,,,,,,,,,,,,,,,,,395206,76.4,94,9.58,13.3
,,,,,,,,,,,,,,,,,229005,76.1,97,9.64,13.3
,,,,,,,,,,,,,,,,,168412,76,98,8.58,13.1
,,,,,,,,,,,,,,,,,354962,75.4,16,8.37,12.9
,,,,,,,,,,,,,,,,,294263,75.7,1,8.28,12.7
,,,,,,,,,,,,,,,,,396878,75,12,8.5,12.5
,,,,,,,,,,,,,,,,,208908,75.5,99,9.4,12.3
,,,,,,,,,,,,,,,,,48413,75.2,12,7.94,12.1
,,,,,,,,,,,,,,,,,104662,75.4,11,7.1,11.9
,,,,,,,,,,,,,,,,,159297,74.9,113,7.16,11.6
,,,,,,,,,,,,,,,,,199545,74.6,116,7.9,0
,,,,,,,,,,,,,,,,,67222,65.7,256,,12.6
,,,,,,,,,,,,,,,,,113749,65.1,268,5.41,12.6
,,,,,,,,,,,,,,,,,197919,64.2,286,5.84,12.6
,,,,,,,,,,,,,,,,,166894,63.4,3,6.27,12.5
,,,,,,,,,,,,,,,,,256504,62.2,325,5.25,12.4
,,,,,,,,,,,,,,,,,350387,61.1,349,5.64,12.3
,,,,,,,,,,,,,,,,,348751,59.2,393,6.39,12.2
,,,,,,,,,,,,,,,,,178487,57.5,427,5.55,12.1
,,,,,,,,,,,,,,,,,255058,56.9,436,4.71,12.1
,,,,,,,,,,,,,,,,,104849,54.8,491,4.93,11.9
,,,,,,,,,,,,,,,,,161508,51.7,566,5.62,11.9
,,,,,,,,,,,,,,,,,117210,48.1,652,5.56,11.8
,,,,,,,,,,,,,,,,,175625,46.4,693,4.65,11.8
,,,,,,,,,,,,,,,,,271795,46,699,6.47,11.9
,,,,,,,,,,,,,,,,,69345,46.7,679,5.73,11.8
,,,,,,,,,,,,,,,,,177499,47.8,647,4.64,11.7
,,,,,,,,,,,,,,,,,57711,75,142,,15.2
,,,,,,,,,,,,,,,,,175406,74.8,144,8.32,15.2
,,,,,,,,,,,,,,,,,87310,74.7,146,8.48,14.2
,,,,,,,,,,,,,,,,,377018,74.5,148,8.26,14.2
,,,,,,,,,,,,,,,,,230796,74.1,152,8.9,14
,,,,,,,,,,,,,,,,,143943,73.8,154,8.27,13.8
,,,,,,,,,,,,,,,,,242718,73.6,157,8.65,13.8
,,,,,,,,,,,,,,,,,274724,73.4,158,8.24,13.3
,,,,,,,,,,,,,,,,,156807,73.3,159,8.28,13.5
,,,,,,,,,,,,,,,,,179681,73,161,8.36,13.8
,,,,,,,,,,,,,,,,,116442,72.7,163,8.27,13.8
,,,,,,,,,,,,,,,,,403681,72,17,7.7,14
,,,,,,,,,,,,,,,,,179557,71.8,172,6.94,14.8
,,,,,,,,,,,,,,,,,405386,71.4,176,7.13,14.6
,,,,,,,,,,,,,,,,,225053,71,179,7.19,14.3
,,,,,,,,,,,,,,,,,373628,75,183,7.3,14.1
,,,,,,,,,,,,,,,,,59767,77.7,78,,14.9
,,,,,,,,,,,,,,,,,290286,77.6,8,2.65,15
,,,,,,,,,,,,,,,,,398652,77.1,84,2.61,14.9
,,,,,,,,,,,,,,,,,137645,78.3,79,2.3,14.4
,,,,,,,,,,,,,,,,,195366,77.4,79,2.25,14.1
,,,,,,,,,,,,,,,,,251990,76.9,79,2.73,14.2
,,,,,,,,,,,,,,,,,56648,76.8,88,2.85,14.1
,,,,,,,,,,,,,,,,,192149,77.2,84,2.23,14.2
,,,,,,,,,,,,,,,,,175622,76,1,2.32,14.3
,,,,,,,,,,,,,,,,,107302,76.3,93,2.24,14.3
,,,,,,,,,,,,,,,,,199763,76.2,92,2.62,14.1
,,,,,,,,,,,,,,,,,265072,76.4,89,3.1,13.7
,,,,,,,,,,,,,,,,,176118,76,89,3.9,13.4
,,,,,,,,,,,,,,,,,231826,74.8,95,3.4,13.3
,,,,,,,,,,,,,,,,,219745,74.7,19,3.6,13.4
,,,,,,,,,,,,,,,,,203635,74.4,16,3.5,13.4
,,,,,,,,,,,,,,,,,41493,74.5,137,,15
,,,,,,,,,,,,,,,,,72143,74.3,138,8.44,14.8
,,,,,,,,,,,,,,,,,318259,74.1,14,7.93,14.4
,,,,,,,,,,,,,,,,,118520,73.9,139,7.11,14.3
,,,,,,,,,,,,,,,,,226288,73.7,144,6.88,14.2
,,,,,,,,,,,,,,,,,231263,73.4,147,7.24,13.9
,,,,,,,,,,,,,,,,,93227,73.2,152,6.78,13.8
,,,,,,,,,,,,,,,,,438139,72.9,155,6.61,13.8
,,,,,,,,,,,,,,,,,104329,72.6,157,6.41,13.5
,,,,,,,,,,,,,,,,,83451,72.2,161,6.67,13.5
,,,,,,,,,,,,,,,,,130532,72.1,16,7.8,13.5
,,,,,,,,,,,,,,,,,224700,72.2,157,7.9,13.3
,,,,,,,,,,,,,,,,,160636,72,155,7.43,12.9
,,,,,,,,,,,,,,,,,27385,71.8,157,7.41,12.9
,,,,,,,,,,,,,,,,,174575,71.6,16,7.23,12.9
,,,,,,,,,,,,,,,,,193945,71.1,163,6.7,12.9
,,,,,,,,,,,,,,,,,227778,59.9,26,,7.7
,,,,,,,,,,,,,,,,,205865,59.3,268,4.96,7.7
,,,,,,,,,,,,,,,,,255364,59,27,5.91,7.5
,,,,,,,,,,,,,,,,,353432,58.6,271,5.33,7.2
,,,,,,,,,,,,,,,,,100099,58.1,275,5.17,6.7
,,,,,,,,,,,,,,,,,147098,57.5,279,7.17,6.3
,,,,,,,,,,,,,,,,,149809,56.9,283,7.41,5.9
,,,,,,,,,,,,,,,,,100135,56.1,288,6.77,5.4
,,,,,,,,,,,,,,,,,179413,55.3,293,6.63,4.9
,,,,,,,,,,,,,,,,,29874,54.3,32,6.58,4.7
,,,,,,,,,,,,,,,,,200574,53.3,313,6.87,4.3
,,,,,,,,,,,,,,,,,377018,52.4,323,6.45,3.9
,,,,,,,,,,,,,,,,,365465,51.6,332,5.61,3.8
,,,,,,,,,,,,,,,,,43738,51,338,5.26,3.6
,,,,,,,,,,,,,,,,,127740,56,344,4.85,3.5
,,,,,,,,,,,,,,,,,177596,51,348,5.6,3.4
,,,,,,,,,,,,,,,,,100228,59.6,288,,10.6
,,,,,,,,,,,,,,,,,200316,59.1,297,7.54,10.6
,,,,,,,,,,,,,,,,,268797,58.6,33,8.3,10.5
,,,,,,,,,,,,,,,,,181530,58,312,8.21,10.3
,,,,,,,,,,,,,,,,,228686,57.4,321,8.58,9.9
,,,,,,,,,,,,,,,,,177625,56.8,33,8.82,9.3
,,,,,,,,,,,,,,,,,272087,56.2,338,6.96,8.6
,,,,,,,,,,,,,,,,,122353,55.3,35,7.86,7.9
,,,,,,,,,,,,,,,,,98361,54.8,355,1.3,7.2
,,,,,,,,,,,,,,,,,342642,54.1,361,11.49,5.9
,,,,,,,,,,,,,,,,,32184,53.4,369,9.84,5.6
,,,,,,,,,,,,,,,,,128586,52.6,378,7.1,5.2
,,,,,,,,,,,,,,,,,184435,51.9,387,5.25,4.7
,,,,,,,,,,,,,,,,,168191,51.5,387,5.15,4.4
,,,,,,,,,,,,,,,,,255847,51.3,385,4.96,4.5
,,,,,,,,,,,,,,,,,219155,58,386,4.98,\
,,,,,,,,,,,,,,,,,328734,53.3,397,,
,,,,,,,,,,,,,,,,,403121,52.8,47,5.72,
,,,,,,,,,,,,,,,,,223433,52.3,412,5.81,
,,,,,,,,,,,,,,,,,92898,52,415,6.14,
,,,,,,,,,,,,,,,,,322385,51.7,419,6.42,
,,,,,,,,,,,,,,,,,169879,51.5,417,6.32,
,,,,,,,,,,,,,,,,,201680,51,426,6.41,
,,,,,,,,,,,,,,,,,36058,54,437,6.21,
,,,,,,,,,,,,,,,,,111363,49.9,443,6.35,
,,,,,,,,,,,,,,,,,237651,49.4,452,5.87,
,,,,,,,,,,,,,,,,,157184,48.7,466,5.39,
,,,,,,,,,,,,,,,,,174325,48.2,472,5.24,
,,,,,,,,,,,,,,,,,197036,48,473,4.65,
,,,,,,,,,,,,,,,,,65038,47.7,473,4.47,
,,,,,,,,,,,,,,,,,219591,47.8,467,4.85,
,,,,,,,,,,,,,,,,,373903,47.9,461,6,
,,,,,,,,,,,,,,,,,211345,73.3,114,,13.5
,,,,,,,,,,,,,,,,,188669,73,117,4.76,13.5
,,,,,,,,,,,,,,,,,113814,72.8,12,4.29,13.6
,,,,,,,,,,,,,,,,,116635,72.7,121,4.61,13.2
,,,,,,,,,,,,,,,,,152909,72.6,122,4.6,13.1
,,,,,,,,,,,,,,,,,183523,72.5,123,4.83,12.7
,,,,,,,,,,,,,,,,,183034,72.4,124,4.24,12.4
,,,,,,,,,,,,,,,,,329222,72.4,124,3.96,12.2
,,,,,,,,,,,,,,,,,87556,72.3,126,4.3,11.9
,,,,,,,,,,,,,,,,,62143,72.1,129,5.11,11.9
,,,,,,,,,,,,,,,,,145409,71.8,134,4.86,11.2
,,,,,,,,,,,,,,,,,163205,71.4,14,5.6,11.1
,,,,,,,,,,,,,,,,,27565,71.1,144,5,11.3
,,,,,,,,,,,,,,,,,197193,77,148,5.17,11.3
,,,,,,,,,,,,,,,,,208881,73,152,5.19,11
,,,,,,,,,,,,,,,,,168556,69.9,155,4.81,11.3
,,,,,,,,,,,,,,,,,254949,68.7,174,,10.9
,,,,,,,,,,,,,,,,,329874,68.3,179,5.68,10.9
,,,,,,,,,,,,,,,,,283122,67.8,183,5.93,10.8
,,,,,,,,,,,,,,,,,302146,67.4,186,6.24,10.7
,,,,,,,,,,,,,,,,,247081,67,19,5.64,10.7
,,,,,,,,,,,,,,,,,34848,66.6,192,5.95,10.6
,,,,,,,,,,,,,,,,,39388,66.1,195,6.36,10.5
,,,,,,,,,,,,,,,,,280088,65.6,199,5.55,10.5
,,,,,,,,,,,,,,,,,136314,65,24,3.75,10.3
,,,,,,,,,,,,,,,,,34998,64.1,216,4.48,10.1
,,,,,,,,,,,,,,,,,207848,62.9,234,5.84,10
,,,,,,,,,,,,,,,,,242859,61.5,253,6.43,9.7
,,,,,,,,,,,,,,,,,181434,63,268,6.74,9.3
,,,,,,,,,,,,,,,,,167151,59.3,273,5.95,8.2
,,,,,,,,,,,,,,,,,99185,58.5,273,5.7,7.6
,,,,,,,,,,,,,,,,,97925,57.7,274,5.87,7.2
,,,,,,,,,,,,,,,,,294121,57.3,357,,10.4
,,,,,,,,,,,,,,,,,199539,56.7,366,4.1,10.4
,,,,,,,,,,,,,,,,,285335,56.4,364,4.29,10.4
,,,,,,,,,,,,,,,,,120126,55.9,369,4.34,10.4
,,,,,,,,,,,,,,,,,321313,55.6,371,3.96,10
,,,,,,,,,,,,,,,,,96073,55.3,37,5.28,9.7
,,,,,,,,,,,,,,,,,189614,54.8,373,5.7,9.2
,,,,,,,,,,,,,,,,,115549,54.2,382,5.18,8.8
,,,,,,,,,,,,,,,,,76939,53.6,395,4.76,8
,,,,,,,,,,,,,,,,,188615,53.3,394,4.69,8.2
,,,,,,,,,,,,,,,,,433325,52.8,4,4.75,8.3
,,,,,,,,,,,,,,,,,147069,52.1,412,4.73,8.2
,,,,,,,,,,,,,,,,,71996,51.8,412,4.97,8.1
,,,,,,,,,,,,,,,,,240771,51.6,47,4.86,8.4
,,,,,,,,,,,,,,,,,374454,51.5,41,4.7,7.1
,,,,,,,,,,,,,,,,,24366,51.4,394,4.48,6.9
,,,,,,,,,,,,,,,,,277630,82.2,64,,16.3
,,,,,,,,,,,,,,,,,251825,82,65,1.45,15.9
,,,,,,,,,,,,,,,,,163015,81.8,67,1.67,15.9
,,,,,,,,,,,,,,,,,557349,81.6,68,1.78,15.9
,,,,,,,,,,,,,,,,,70261,81.5,68,1.82,15.9
,,,,,,,,,,,,,,,,,162136,81.2,7,11.2,15.9
,,,,,,,,,,,,,,,,,258819,81,72,11.17,15.9
,,,,,,,,,,,,,,,,,123011,87,74,1.3,15.8
,,,,,,,,,,,,,,,,,166606,85,74,9.83,15.8
,,,,,,,,,,,,,,,,,228516,85,75,9.75,15.8
,,,,,,,,,,,,,,,,,269246,81,76,9.57,15.8
,,,,,,,,,,,,,,,,,189277,80,77,9.56,15.8
,,,,,,,,,,,,,,,,,125120,79.7,78,9.54,15.8
,,,,,,,,,,,,,,,,,152328,79.5,79,9.37,15.8
,,,,,,,,,,,,,,,,,149347,79.4,8,9.1,15.8
,,,,,,,,,,,,,,,,,259300,79.1,82,8.67,15.9
,,,,,,,,,,,,,,,,,477867,52.5,397,,7.1
,,,,,,,,,,,,,,,,,191385,58,437,4.2,7.1
,,,,,,,,,,,,,,,,,113481,49.9,451,3.82,7.1
,,,,,,,,,,,,,,,,,167336,53,439,3.62,7.1
,,,,,,,,,,,,,,,,,265230,49.8,443,3.73,6.8
,,,,,,,,,,,,,,,,,318934,49.2,446,3.9,6.6
,,,,,,,,,,,,,,,,,104476,48.6,453,3.58,6.4
,,,,,,,,,,,,,,,,,104542,47.6,477,4.3,6.3
,,,,,,,,,,,,,,,,,88564,46.8,495,4.4,6.2
,,,,,,,,,,,,,,,,,303942,46.3,56,3.99,6
,,,,,,,,,,,,,,,,,96480,45.9,511,4.29,5.9
,,,,,,,,,,,,,,,,,365465,45.7,512,4.1,5.7
,,,,,,,,,,,,,,,,,259929,45.7,51,4.31,5.6
,,,,,,,,,,,,,,,,,202958,45.6,58,4.16,5.4
,,,,,,,,,,,,,,,,,137613,45.6,54,3.95,5.3
,,,,,,,,,,,,,,,,,191517,46,49,4.24,5.2
,,,,,,,,,,,,,,,,,210527,53.1,356,,7.3
,,,,,,,,,,,,,,,,,180138,52.6,362,3.62,7.3
,,,,,,,,,,,,,,,,,80163,52.2,366,3.42,7.3
,,,,,,,,,,,,,,,,,211678,51.8,367,3,7.3
,,,,,,,,,,,,,,,,,149909,51.6,365,3.17,6.7
,,,,,,,,,,,,,,,,,127111,51.2,364,2.95,6.7
,,,,,,,,,,,,,,,,,157786,57,37,3.31,6.3
,,,,,,,,,,,,,,,,,256529,49.6,394,2.92,6
,,,,,,,,,,,,,,,,,360131,49.4,394,3.35,5.7
,,,,,,,,,,,,,,,,,201156,48.5,414,3.32,5.5
,,,,,,,,,,,,,,,,,258735,48.6,46,3.91,5.6
,,,,,,,,,,,,,,,,,178469,48.5,45,5.72,5.6
,,,,,,,,,,,,,,,,,311177,48.4,43,5.49,5.4
,,,,,,,,,,,,,,,,,301948,48.1,43,8.33,5.1
,,,,,,,,,,,,,,,,,118001,48,4,6.9,4.9
